DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2014,137834,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2015,137729,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2016,136807,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2017,136781,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2018,136307,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2019,135715,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2020,134726,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2011,91669,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2012,91042,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2013,90404,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2014,89723,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2015,89065,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2016,87895,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG009C1,2017,87322,
